Format Version,1.23,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
1927,16.058,,,,180.608963,1497.390991,1010.198486,4.74763,1700.683594,1030.91687,4.227127,1928.636475,1025.109741,153.216171,924.00293,947.901611,100.500969,1115.012573,1002.503418
1928,16.067,,,,181.199646,1497.345337,1010.030884,6.527723,1701.312256,1031.207031,7.398764,1929.291748,1025.627197,153.230698,924.369019,948.061157,100.787895,1115.522461,1002.453186
1929,16.075,,,,181.729218,1497.30481,1010.019897,8.137774,1702.053467,1031.556885,10.366111,1929.836548,1026.210449,153.400375,924.582825,948.2229,100.974571,1115.851807,1002.504578
1930,16.083,,,,182.296982,1497.266113,1010.042053,9.779972,1702.559448,1031.838379,13.07279,1930.533936,1026.825562,153.484146,924.987915,948.338928,101.191475,1116.080078,1002.558228
1931,16.092,,,,182.878189,1497.177979,1009.95874,11.29168,1703.156616,1032.185425,15.690522,1931.12854,1027.435913,153.574722,925.207886,948.470337,101.443077,1116.325928,1002.594604
1932,16.1,,,,183.478821,1497.043579,1009.909973,12.663861,1703.592773,1032.533447,18.056784,1931.587036,1027.706909,153.850037,925.508118,948.405518,101.700142,1116.584106,1002.618164
1933,16.108,,,,184.045151,1496.965698,1009.678711,14.05927,1704.034668,1032.942261,20.234556,1931.944702,1028.264038,153.915787,925.69873,948.802979,101.99157,1116.845947,1002.620911
1934,16.117,,,,184.598145,1496.939453,1009.520203,15.184972,1704.454102,1033.307739,22.371292,1932.245483,1029.094849,154.050644,925.973145,948.937988,102.138969,1117.022217,1002.737732
1935,16.125,,,,184.956528,1496.925293,1009.579041,16.321611,1704.776855,1033.571411,24.196438,1932.630127,1029.393311,154.141006,926.075684,949.030396,102.500183,1117.327515,1002.705811
1936,16.133,,,,185.415283,1496.886963,1009.447327,17.431782,1705.109131,1033.939941,25.837923,1932.978882,1030.092651,154.279984,926.302551,949.148132,102.686378,1117.455688,1002.74408
1937,16.142,,,,185.817169,1496.837402,1009.295593,18.39934,1705.346313,1034.249023,27.390459,1933.185059,1030.559814,154.37851,926.375916,949.207397,102.856499,1117.595337,1002.733704
1938,16.15,,,,186.2621,1496.813843,1009.186646,19.263306,1705.609985,1034.475464,28.720852,1933.456177,1031.168457,154.527008,926.437073,949.293762,103.002663,1117.690308,1002.708313
1939,16.158,,,,186.745789,1496.778564,1009.15741,20.133028,1705.80896,1034.733765,29.968451,1933.761719,1031.698975,154.710815,926.536926,949.374146,103.119499,1117.793823,1002.688782
1940,16.167,,,,187.188156,1496.840454,1009.090515,20.888742,1706.011597,1034.998291,31.093782,1933.776001,1032.023682,154.839203,926.662292,949.412415,103.266121,1117.906006,1002.628113
1941,16.175,,,,187.599182,1496.862183,1009.33551,21.547468,1706.151733,1035.199951,32.157215,1933.991211,1032.622925,155.000137,926.87915,949.183838,103.381371,1117.994873,1002.587891
1942,16.183,,,,187.999771,1496.870972,1009.529358,22.151241,1706.282227,1035.432861,32.982765,1934.215698,1033.160156,155.049789,926.805176,949.48822,103.531754,1118.074097,1002.549988
1943,16.192,,,,188.292114,1496.875732,1009.634399,22.654299,1706.383179,1035.575928,33.705837,1934.325317,1033.479614,155.127686,926.886353,949.539734,103.67215,1118.140015,1002.574707
1944,16.2,,,,188.567459,1496.905762,1009.745605,23.137711,1706.49353,1035.706665,34.479008,1934.281982,1033.906372,155.326813,926.849365,949.609131,103.86454,1118.211304,1002.564575
1945,16.208,,,,188.854141,1496.89856,1009.790405,23.661177,1706.603516,1035.816162,35.033024,1934.370605,1034.279907,155.301056,927.053711,949.631531,104.010056,1118.285156,1002.604248
1946,16.217,,,,189.142426,1496.908447,1009.809753,24.06822,1706.688354,1035.841553,35.540485,1934.467041,1034.741455,155.535141,927.013,949.705566,104.185493,1118.35498,1002.641663
1947,16.225,,,,189.420532,1496.928833,1009.931702,24.364037,1706.780029,1035.903809,35.848255,1934.519653,1035.120483,155.500763,927.212036,949.726074,104.419693,1118.481934,1002.630615
1948,16.233,,,,189.730011,1496.991333,1009.850952,24.612379,1706.814575,1035.97644,35.956261,1934.563721,1035.325806,155.703827,927.255005,949.531799,104.554703,1118.546021,1002.650391
1949,16.242,,,,189.898682,1496.986572,1009.866577,24.758089,1706.775391,1036.033569,35.994686,1934.597046,1035.491089,155.733124,927.214233,949.839783,104.699638,1118.592529,1002.662659
1950,16.25,,,,190.10733,1496.995605,1009.859192,24.88269,1706.71582,1036.098877,35.961163,1934.579712,1035.625854,155.84697,927.270935,949.920349,104.818138,1118.620239,1002.689026
1951,16.258,,,,190.267365,1497.003296,1009.904175,24.965061,1706.653931,1036.162354,35.821815,1934.571167,1035.739502,155.803619,927.514893,949.926514,104.910591,1118.652222,1002.764954
1952,16.267,,,,190.382416,1497.003784,1009.986389,24.955269,1706.575195,1036.291504,35.653385,1934.546143,1035.929932,155.986862,927.315186,950.003113,105.032845,1118.659546,1002.79071
1953,16.275,,,,190.50824,1497.008057,1010.265381,24.915054,1706.481201,1036.396484,35.305866,1934.600342,1036.137939,155.971191,927.502625,949.994629,105.137962,1118.670654,1002.827026
1954,16.283,,,,190.611862,1496.99707,1010.298828,24.786613,1706.353149,1036.489868,34.900974,1934.532227,1036.147339,156.002686,927.456299,950.032654,105.233322,1118.667969,1002.846985
1955,16.292,,,,190.715866,1496.994873,1010.335938,24.706396,1706.249268,1036.554565,34.475613,1934.342041,1035.994385,156.113998,927.397278,950.083557,105.313965,1118.6698,1002.890259
1956,16.3,,,,190.834198,1497.088745,1010.161072,24.482014,1706.149902,1036.646118,34.061275,1934.128906,1036.013428,156.239243,927.309509,950.130005,105.366997,1118.642212,1002.931702
1957,16.308,,,,190.880707,1497.102661,1010.329224,24.247129,1706.058594,1036.663086,33.532906,1933.93811,1035.866211,156.319611,927.417236,949.895386,105.4132,1118.618042,1002.968323
1958,16.317,,,,190.841431,1497.119995,1010.382874,23.966024,1705.917236,1036.632568,32.987877,1933.832886,1035.885132,156.370392,927.325012,950.205444,105.476364,1118.576172,1003.021484
1959,16.325,,,,190.828705,1497.13562,1010.491272,23.636633,1705.756592,1036.611938,32.434849,1933.79541,1036.166748,156.376205,927.394104,950.239441,105.547516,1118.532837,1003.103882
1960,16.333,,,,190.81572,1497.151001,1010.538818,23.21163,1705.588379,1036.623657,31.873875,1933.654541,1036.315674,156.363861,927.546997,950.283508,105.63343,1118.510132,1003.178101
1961,16.342,,,,190.73967,1497.19397,1010.575745,22.789732,1705.392456,1036.589722,31.293686,1933.47583,1036.348145,156.470428,927.498291,950.351807,105.744446,1118.48645,1003.248596
1962,16.35,,,,190.675049,1497.224731,1010.706665,22.469666,1705.170288,1036.483521,30.578007,1933.358398,1036.311035,156.529678,927.435059,950.394958,105.849373,1118.462158,1003.322815
1963,16.358,,,,190.628784,1497.260742,1010.847229,22.178904,1705.029175,1036.367432,29.810793,1933.194214,1036.698853,156.656876,927.347107,950.486084,105.926086,1118.443604,1003.386963
1964,16.367,,,,190.569031,1497.277588,1011.079773,21.923319,1704.905762,1036.287354,29.164059,1933.000488,1036.879639,156.689545,927.51062,950.298218,106.027534,1118.396729,1003.444885
1965,16.375,,,,190.471085,1497.299316,1011.016235,21.568136,1704.724243,1036.216675,28.423641,1932.74585,1037.00293,156.651489,927.529846,950.602112,106.119003,1118.340698,1003.488525
1966,16.383,,,,190.391434,1497.321533,1011.078491,21.139988,1704.521118,1036.090454,27.543447,1932.568604,1037.360352,156.757477,927.295166,950.71344,106.163765,1118.279419,1003.54718
1967,16.392,,,,190.270462,1497.337524,1011.125549,20.564957,1704.230713,1036.079224,26.621952,1932.408447,1037.565308,156.775131,927.310791,950.776917,106.216789,1118.211548,1003.578674
1968,16.4,,,,190.166306,1497.339478,1011.166687,19.952511,1703.9823,1036.107422,25.760094,1932.092407,1037.797729,156.71492,927.408936,950.811829,106.282097,1118.12915,1003.680115
1969,16.408,,,,190.007141,1497.356934,1011.243225,19.329979,1703.730225,1036.080688,24.76792,1931.88147,1038.094604,156.737671,927.359863,950.918579,106.3983,1118.062256,1003.636963
1970,16.417,,,,189.85788,1497.381592,1011.08728,18.925196,1703.528687,1035.897827,23.728327,1931.666016,1038.240601,156.769241,927.294678,950.995789,106.429825,1117.979736,1003.69812
1971,16.425,,,,189.730255,1497.423828,1010.998352,18.42164,1703.304565,1035.82959,22.757975,1931.419434,1038.437622,156.747284,927.392334,951.056885,106.494453,1117.905029,1003.754761
1972,16.433,,,,189.577728,1497.443481,1010.931152,17.824688,1703.086548,1035.8573,21.742443,1931.192749,1038.759033,156.839966,927.178467,951.15979,106.477371,1117.849365,1003.939148
1973,16.442,,,,189.426483,1497.478394,1011.049744,17.104418,1702.796265,1035.868042,20.707779,1931.02417,1038.97168,156.891571,927.304077,950.945068,106.533394,1117.791504,1004.026306
1974,16.45,,,,189.231552,1497.515747,1010.96344,16.463047,1702.583862,1035.838013,19.883078,1930.682495,1039.112793,156.69812,927.366882,951.233032,106.583107,1117.742798,1004.132751
1975,16.458,,,,189.047073,1497.552856,1010.966797,15.893791,1702.328979,1035.806641,18.948708,1930.52063,1039.295044,156.891876,927.024719,951.37085,106.618279,1117.667114,1004.284363
1976,16.467,,,,188.868774,1497.553955,1010.959412,15.459203,1702.129517,1035.837402,17.949984,1930.298828,1039.309204,156.763519,927.188232,951.400513,106.657822,1117.611084,1004.39679
1977,16.475,,,,188.700714,1497.563232,1011.042236,15.051409,1701.885864,1035.801636,17.131172,1930.103271,1039.258667,156.909271,926.957764,951.507935,106.69281,1117.566528,1004.496338
1978,16.483,,,,188.530991,1497.567383,1011.096924,14.583557,1701.735229,1035.807617,16.278015,1929.896973,1039.429077,156.858856,927.057739,951.562256,106.691628,1117.500732,1004.608521
1979,16.492,,,,188.348175,1497.59436,1011.152893,13.998663,1701.571045,1035.835205,15.43115,1929.719238,1039.360474,156.861557,927.034607,951.628235,106.717163,1117.480591,1004.67218
1980,16.5,,,,188.187256,1497.611938,1011.332031,13.463175,1701.382324,1035.908691,14.59532,1929.605591,1039.073486,156.966858,926.962463,951.433289,106.743446,1117.474365,1004.730957
1981,16.508,,,,187.97049,1497.60437,1011.495728,12.86763,1701.182617,1035.967529,13.794115,1929.461548,1039.043213,156.921783,927.019104,951.507751,106.70755,1117.437134,1004.797668
1982,16.517,,,,187.736008,1497.592773,1011.612183,12.36711,1700.96875,1035.987183,13.206138,1929.275146,1039.132935,156.906815,927.004089,951.586914,106.712982,1117.428711,1004.843384
1983,16.525,,,,187.544067,1497.575439,1011.7276,12.015545,1700.799561,1035.932861,12.612761,1929.182373,1038.963501,156.979996,926.88031,951.659668,106.677086,1117.404419,1004.919739
1984,16.533,,,,187.292099,1497.567139,1011.794678,11.696098,1700.700806,1035.860474,12.105952,1929.105347,1038.680908,156.95108,926.89978,951.710938,106.685349,1117.405396,1004.981995
1985,16.542,,,,187.061157,1497.588257,1011.816528,11.365008,1700.610229,1035.816162,11.693667,1929.056641,1038.617065,156.827087,926.984131,951.79364,106.675224,1117.397461,1005.065308
1986,16.55,,,,186.828613,1497.468384,1012.135254,11.070271,1700.532104,1035.71582,11.378036,1928.96936,1038.580811,156.734482,926.962524,952.141052,106.682938,1117.384644,1005.150696
1987,16.558,,,,186.660355,1497.440308,1012.062805,10.668026,1700.475342,1035.600708,11.130637,1928.889648,1038.624146,156.75589,926.862732,952.256775,106.702477,1117.366943,1005.254028
1988,16.567,,,,186.475006,1497.418945,1012.023315,10.2734,1700.407715,1035.477905,10.923167,1928.866699,1038.724976,156.703018,927.054565,952.056152,106.715172,1117.346558,1005.365601
1989,16.575,,,,186.313629,1497.389893,1012.070984,9.971629,1700.32312,1035.309326,10.853866,1928.808716,1038.858154,156.668655,927.110046,952.125793,106.650246,1117.301514,1005.565979
1990,16.583,,,,186.112869,1497.377441,1012.031433,9.615705,1700.246582,1035.161255,10.873087,1928.753906,1039.091797,156.614319,926.948364,952.483215,106.638062,1117.26709,1005.682678
1991,16.592,,,,185.957245,1497.406494,1011.936157,9.322478,1700.19165,1034.947144,10.986692,1928.714111,1039.320435,156.576035,926.932434,952.578613,106.576569,1117.213501,1005.82074
1992,16.6,,,,185.848297,1497.40625,1011.85144,9.073026,1700.145264,1034.56311,11.122404,1928.693115,1039.696289,156.430557,927.023987,952.666992,106.529716,1117.170898,1005.933167
1993,16.608,,,,185.716614,1497.422729,1011.905762,8.811978,1700.071777,1034.230957,11.32779,1928.578857,1040.114746,156.380676,927.028687,952.774536,106.468605,1117.110107,1006.053711
1994,16.617,,,,185.592712,1497.418945,1011.732239,8.462927,1700.079468,1033.945435,11.490962,1928.598877,1040.494629,156.197906,927.131897,952.858582,106.391647,1117.046997,1006.145691
1995,16.625,,,,185.469528,1497.450195,1011.764404,8.163694,1700.057739,1033.498169,11.791986,1928.694702,1041.130249,156.241028,927.000061,952.960083,106.293159,1116.983032,1006.238342
1996,16.633,,,,185.352814,1497.440552,1011.793518,7.746711,1700.07373,1033.172119,12.152527,1928.783691,1041.912598,156.335312,926.960449,952.792542,106.242096,1116.942017,1006.290894
1997,16.642,,,,185.213425,1497.438721,1011.658813,7.365416,1700.086792,1032.808838,12.443823,1928.865967,1042.5448,156.312958,926.863403,952.881042,106.178841,1116.877686,1006.368042
1998,16.65,,,,185.093948,1497.463257,1011.578796,6.922486,1700.048096,1032.351685,12.758163,1928.938965,1043.229614,156.266342,926.850098,952.951355,106.124046,1116.817383,1006.440735
1999,16.658,,,,184.943436,1497.429077,1011.658997,6.455581,1700.003296,1031.963501,13.165168,1928.999634,1043.993164,156.147644,926.865601,953.040222,106.100052,1116.743286,1006.506104
2000,16.667,,,,184.806473,1497.407104,1011.62384,6.115047,1699.969727,1031.479126,13.718098,1929.08313,1045.088989,156.152115,926.791199,953.118469,106.033562,1116.696899,1006.566528
2001,16.675,,,,184.68605,1497.407349,1011.634705,5.799317,1699.938721,1030.994507,14.353186,1929.160278,1046.151611,156.070251,926.834351,953.169373,106.027557,1116.617554,1006.633972
2002,16.683,,,,184.551605,1497.388184,1011.605286,5.505269,1699.927612,1030.587769,14.997135,1929.243286,1047.121826,156.036194,926.748901,953.274292,106.037666,1116.559326,1006.667725
2003,16.692,,,,184.417374,1497.396606,1011.564514,5.277139,1699.939575,1030.087158,15.694759,1929.268188,1047.98291,155.946335,926.862732,953.317566,106.001617,1116.497681,1006.717773
2004,16.7,,,,184.276199,1497.387085,1011.325928,5.084537,1699.933716,1029.635864,16.678301,1929.26416,1049.004395,155.994568,926.707092,953.377991,106.019096,1116.440308,1006.727234
2005,16.708,,,,184.195175,1497.386108,1011.339172,4.944146,1699.935791,1029.198853,17.580359,1929.411621,1050.055786,155.910492,926.874756,953.410156,106.013077,1116.422852,1006.752136
2006,16.717,,,,184.049469,1497.354858,1011.248108,4.794839,1699.965088,1028.668945,18.595778,1929.530518,1051.27063,155.815826,926.812683,953.501038,105.971695,1116.335815,1006.763
2007,16.725,,,,183.954971,1497.375244,1011.254761,4.652042,1700.029053,1028.162476,19.657578,1929.622925,1052.485596,155.872208,926.626709,953.597046,105.97065,1116.272095,1006.761047
2008,16.733,,,,183.8414,1497.394775,1011.162048,4.544157,1700.134033,1027.665771,20.798311,1929.685181,1053.599487,155.835388,926.722229,953.621887,105.963097,1116.252197,1006.734741
2009,16.742,,,,183.710297,1497.416016,1011.212708,4.411591,1700.180542,1027.147339,22.050125,1929.71814,1054.598145,155.887375,926.594055,953.671875,105.903671,1116.182007,1006.75177
2010,16.75,,,,183.606827,1497.423096,1011.135803,4.273407,1700.230957,1026.635132,23.469088,1929.765869,1055.604736,155.842972,926.565735,953.737549,105.916763,1116.168579,1006.712891
2011,16.758,,,,183.470581,1497.435669,1011.080505,4.046984,1700.278442,1026.217529,24.675587,1929.821289,1056.708374,155.786331,926.548035,953.803955,105.853271,1116.121948,1006.710388
2012,16.767,,,,183.360153,1497.44812,1011.099121,3.945199,1700.359863,1025.650757,26.119717,1929.799194,1057.798096,155.867554,926.508057,953.815491,105.815826,1116.106323,1006.704102
2013,16.775,,,,183.233215,1497.430908,1011.086609,3.828738,1700.410522,1025.151978,27.792206,1929.391357,1058.531616,155.802734,926.497925,953.872498,105.778328,1116.078491,1006.687073
2014,16.783,,,,183.118393,1497.418701,1011.147766,3.722879,1700.5354,1024.574219,29.251057,1929.470459,1059.813843,155.79747,926.451904,953.922607,105.735817,1116.037109,1006.707764
2015,16.792,,,,182.994476,1497.427002,1011.062866,3.583777,1700.669434,1024.0354,30.969549,1929.483276,1060.783813,155.727676,926.51947,953.949707,105.704498,1116.024658,1006.697388
2016,16.8,,,,182.887115,1497.424561,1011.11615,3.549707,1700.80188,1023.432617,32.756382,1929.389526,1061.643066,155.737122,926.442444,954.012207,105.65036,1116.005737,1006.688232
2017,16.808,,,,182.796188,1497.439087,1011.010071,3.504141,1700.903442,1022.895569,34.587639,1929.301147,1062.650391,155.650406,926.511658,954.047241,105.592125,1115.991821,1006.704834
2018,16.817,,,,182.709396,1497.426758,1011.017944,3.511234,1701.030762,1022.178772,36.568474,1929.182373,1063.531738,155.65332,926.563232,954.068787,105.555336,1115.986572,1006.700012
2019,16.825,,,,182.630188,1497.437378,1010.969177,3.59568,1701.232666,1021.418213,37.025276,1934.134644,1064.516724,155.605591,926.577087,954.096741,105.49926,1115.963379,1006.760376
2020,16.833,,,,182.554428,1497.438965,1011.012695,3.940456,1701.14856,1019.593933,39.302296,1933.28125,1065.246704,155.648849,926.52771,954.13324,105.448235,1115.958984,1006.770142
2021,16.842,,,,182.444504,1497.485352,1010.926392,3.561644,1701.52478,1019.985779,41.617924,1932.890503,1065.833984,155.647461,926.549072,954.160339,105.379143,1115.967896,1006.833923
2022,16.85,,,,182.349365,1497.463623,1011.11377,3.944448,1701.492065,1018.007141,44.016151,1931.873657,1067.193481,155.587769,926.558411,954.230164,105.298203,1115.952515,1006.891357
2023,16.858,,,,182.267044,1497.488159,1011.025574,3.539882,1701.939697,1018.521179,46.495617,1930.658447,1067.813232,155.57814,926.548035,954.262268,105.232239,1115.955933,1006.928589
2024,16.867,,,,182.182358,1497.515503,1011.047363,3.851005,1701.909058,1016.450195,49.38126,1928.978271,1068.778564,155.499557,926.576233,954.307251,105.149658,1115.972412,1006.959534
2025,16.875,,,,182.135345,1497.510864,1011.064758,3.954798,1702.017212,1015.202515,52.117588,1927.254883,1070.072998,155.465454,926.595276,954.348755,105.046806,1115.96167,1007.013184
2026,16.883,,,,182.09584,1497.534424,1011.014221,3.963999,1702.260742,1014.291748,54.641655,1926.70752,1070.92041,155.344284,926.654968,954.43512,104.928093,1115.976562,1007.031799
2027,16.892,,,,182.022003,1497.570068,1011.002197,3.893542,1702.491333,1013.550903,57.40427,1925.648438,1071.701294,155.218658,926.737427,954.491638,104.820389,1115.978516,1007.041565
2028,16.9,,,,182.020554,1497.574585,1011.081116,3.702168,1702.724243,1012.893677,59.840603,1925.386108,1072.490601,155.163361,926.749695,954.533447,104.72316,1116.001343,1007.061584
2029,16.908,,,,181.945038,1497.568481,1011.009949,3.729285,1702.886841,1011.824707,62.490627,1924.226929,1073.860718,155.008789,926.800842,954.599915,104.594002,1115.994995,1007.066101
2030,16.917,,,,181.903336,1497.571289,1010.953064,3.665568,1703.051514,1011.022095,65.011154,1923.790039,1074.712524,154.865616,926.84436,954.653137,104.516808,1116.00769,1007.064697
2031,16.925,,,,181.894028,1497.580811,1010.960449,3.672489,1703.159912,1010.243408,67.7463,1922.704102,1075.466919,154.73645,926.866211,954.717224,104.40686,1116.036255,1007.063538
2032,16.933,,,,181.881134,1497.567261,1010.88739,3.685369,1703.289307,1009.345276,70.387024,1921.952637,1076.241333,154.719894,926.783752,954.764282,104.294617,1116.037231,1007.062317
2033,16.942,,,,181.879532,1497.576416,1010.934692,3.61968,1703.433838,1008.582703,72.950607,1920.785522,1077.264648,154.585892,926.88623,954.794617,104.211243,1116.053101,1007.042175
2034,16.95,,,,181.830734,1497.584351,1010.891418,3.54476,1703.523438,1007.735352,75.53775,1919.935791,1078.072632,154.575058,926.790466,954.828186,104.101715,1116.042358,1007.065674
2035,16.958,,,,181.844803,1497.559326,1010.939941,3.358296,1703.584595,1007.051086,78.195015,1918.770996,1078.847412,154.401794,926.899963,954.86969,103.984657,1116.032837,1007.077942
2036,16.967,,,,181.827682,1497.546143,1010.921509,3.205149,1703.623901,1006.22406,80.878616,1917.528809,1079.533936,154.350372,926.851135,954.917908,103.886284,1116.034546,1007.087097
2037,16.975,,,,181.827133,1497.52832,1010.865234,2.933613,1703.651367,1005.549438,83.390289,1916.633423,1080.026489,154.31041,926.811462,954.941467,103.795876,1116.035645,1007.097473
2038,16.983,,,,181.749496,1497.501221,1010.716553,2.70719,1703.509033,1004.654541,85.724152,1915.64917,1080.686401,154.186157,926.866272,955.015686,103.686661,1116.004883,1007.133118
2039,16.992,,,,181.735352,1497.425781,1010.667297,2.299889,1703.316895,1003.821045,87.926208,1915.298706,1081.428589,154.217789,926.714966,955.069946,103.621109,1115.982666,1007.176514
2040,17,,,,181.715424,1497.358887,1010.538818,1.775737,1703.121338,1003.050232,89.810852,1915.449707,1081.953003,154.13736,926.733398,955.088379,103.561867,1115.972656,1007.206055
2041,17.008,,,,181.644226,1497.302856,1010.280029,1.173718,1702.933838,1002.390747,92.378639,1913.613525,1082.671143,154.010941,926.818298,955.12384,103.493774,1115.941406,1007.264282
2042,17.017,,,,181.549072,1497.18103,1010.116821,0.642211,1702.796021,1001.784424,94.756989,1911.772583,1083.314209,153.882446,926.850037,955.166565,103.464607,1115.906982,1007.325073
2043,17.025,,,,181.478241,1497.09436,1010.010254,0.274852,1702.579468,1000.978333,97.264984,1909.757446,1083.757324,153.877701,926.832764,955.195923,103.463821,1115.881958,1007.339844
2044,17.033,,,,181.416092,1497.002197,1009.907471,-0.291381,1702.375977,1000.350342,99.850578,1907.676758,1084.39563,153.933075,926.797546,955.193359,103.430748,1115.852905,1007.40564
2045,17.042,,,,181.22226,1496.929688,1009.679688,-0.904337,1702.136719,999.771912,102.393951,1905.533325,1084.955933,153.789154,926.857605,955.239258,103.415756,1115.795532,1007.452515
2046,17.05,,,,181.110245,1496.845825,1009.628784,-1.467571,1701.957275,999.135254,104.990829,1903.407471,1085.271484,153.680252,926.898499,955.279053,103.429001,1115.756348,1007.474182
2047,17.058,,,,181.017456,1496.771973,1009.500488,-2.000419,1701.839844,998.640991,107.457954,1901.278564,1085.496094,153.814072,926.78894,955.307129,103.420319,1115.693115,1007.524963
2048,17.067,,,,180.904114,1496.661865,1009.443909,-2.41876,1701.638916,997.972961,109.991608,1899.058594,1085.773926,153.626358,926.902222,955.298401,103.400223,1115.638306,1007.559204
2049,17.075,,,,180.77182,1496.612671,1009.330872,-2.868001,1701.429077,997.263611,112.524132,1896.880615,1086.071045,153.734818,926.766785,955.346863,103.425125,1115.604492,1007.579346
2050,17.083,,,,180.662933,1496.547974,1009.279724,-3.558713,1701.282227,996.843445,114.866669,1894.562134,1086.333374,153.698532,926.797119,955.360168,103.436958,1115.568604,1007.545959
2051,17.092,,,,180.501556,1496.464966,1009.258606,-4.167348,1701.097046,996.213562,117.46611,1892.247314,1086.680298,153.63475,926.829651,955.384521,103.453796,1115.535278,1007.54248
2052,17.1,,,,180.367188,1496.397461,1009.145996,-4.6862,1701.050415,995.770081,119.973068,1889.859863,1086.998047,153.766418,926.746521,955.419983,103.479401,1115.513794,1007.529236
2053,17.108,,,,180.244232,1496.36731,1008.973572,-4.96406,1700.991211,995.120544,122.329315,1887.535034,1087.518799,153.814743,926.77832,955.392639,103.487083,1115.499023,1007.53009
2054,17.117,,,,180.101868,1496.293457,1008.778442,-5.209811,1700.954346,994.625244,124.819824,1885.305908,1087.843994,153.764587,926.813293,955.416199,103.495209,1115.486084,1007.520935
2055,17.125,,,,179.98143,1496.195068,1009.006287,-5.418537,1700.916626,993.983093,127.207565,1882.987305,1088.125977,153.873672,926.700745,955.460205,103.496223,1115.46167,1007.516052
2056,17.133,,,,179.879837,1496.129272,1008.975525,-5.753565,1700.891602,993.502319,129.493805,1880.783081,1088.37207,153.800781,926.859497,955.44873,103.485718,1115.464233,1007.546204
2057,17.142,,,,179.824448,1496.074463,1008.941162,-5.880888,1700.908691,992.815247,131.964203,1878.562866,1088.64856,153.708267,926.909912,955.484436,103.500511,1115.46814,1007.554321
2058,17.15,,,,179.767471,1496.067505,1008.88324,-6.066548,1700.973999,992.264343,134.200714,1876.284302,1088.860107,153.780243,926.802185,955.535706,103.466202,1115.452637,1007.585754
2059,17.158,,,,179.710068,1496.089966,1008.719788,-6.152153,1700.957764,991.444824,136.383087,1874.043701,1089.039673,153.816696,926.799805,955.577637,103.437057,1115.44165,1007.61853
2060,17.167,,,,179.687164,1496.098755,1008.764648,-6.482899,1700.970337,990.839539,138.640793,1871.716309,1089.401123,153.825455,926.838013,955.601501,103.407852,1115.463257,1007.616272
2061,17.175,,,,179.600082,1496.082764,1008.587463,-6.70642,1701.005981,990.201111,140.785751,1869.335327,1089.507568,153.864487,926.751953,955.677429,103.346329,1115.453491,1007.619385
2062,17.183,,,,179.506393,1496.075073,1008.485291,-6.766759,1701.026367,989.478455,142.940521,1866.956055,1089.611206,153.787094,926.773438,955.692322,103.299149,1115.466797,1007.599609
2063,17.192,,,,179.442444,1496.023315,1008.366089,-6.902829,1701.062988,988.900513,144.898468,1864.632324,1089.664551,153.79425,926.735718,955.762329,103.211769,1115.440308,1007.615784
2064,17.2,,,,179.362457,1495.966919,1008.059509,-6.913025,1701.111328,988.217224,147.021622,1862.386597,1089.710205,153.733887,926.764954,955.817932,103.167389,1115.441284,1007.582336
2065,17.208,,,,179.343948,1495.929077,1007.902283,-6.982347,1701.170044,987.553833,149.088577,1860.066528,1089.763672,153.70549,926.795898,955.873352,103.121521,1115.415649,1007.623169
2066,17.217,,,,179.321167,1495.856567,1007.83075,-6.996397,1701.215088,986.852844,151.032043,1857.690674,1089.822144,153.651413,926.799683,955.945435,103.078011,1115.416626,1007.646057
2067,17.225,,,,179.317886,1495.800537,1007.723328,-7.054978,1701.259399,986.178833,152.849686,1855.299316,1089.847412,153.652847,926.737,956.015747,103.036682,1115.379272,1007.71344
2068,17.233,,,,179.347992,1495.733154,1007.705078,-7.098414,1701.303711,985.428955,154.754639,1852.857056,1089.896729,153.582504,926.862427,956.036011,103.022408,1115.378662,1007.809265
2069,17.242,,,,179.379654,1495.705933,1007.743225,-7.223357,1701.281738,984.726685,156.680542,1850.296753,1090.388062,153.501984,926.874512,956.097961,102.99102,1115.373901,1007.895935
2070,17.25,,,,179.33136,1495.687866,1007.434265,-7.336203,1701.235474,983.934326,158.556549,1847.637817,1090.337646,153.564041,926.749817,956.178589,103.00631,1115.365845,1007.923218
2071,17.258,,,,179.372849,1495.616699,1007.42627,-7.415628,1701.21167,983.188232,160.405365,1844.967896,1090.37146,153.518402,926.759216,956.237854,102.970009,1115.354248,1007.975098
2072,17.267,,,,179.358765,1495.552002,1007.192627,-7.455005,1701.209351,982.407593,162.140228,1842.287109,1090.361328,153.414124,926.767334,956.299255,102.929047,1115.331787,1007.988708
2073,17.275,,,,179.390869,1495.47583,1007.128113,-7.471825,1701.189453,981.676147,163.825653,1839.523315,1090.360229,153.407288,926.72937,956.354675,102.893837,1115.311157,1007.985107
2074,17.283,,,,179.396301,1495.384277,1006.975403,-7.427104,1701.150757,980.939514,165.555542,1836.973999,1090.395264,153.363052,926.73584,956.400696,102.849899,1115.279785,1007.969727
