Format Version,1.23,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
94,0.783,,,,,,,,,,,,,,,,,,
95,0.792,,,,,,,,,,,,,,,,,,
96,0.8,,,,,,,,,,,,,,,,,,
97,0.808,,,,,,,,,,,,,,,,,,
98,0.817,,,,,,,,,,,,,,,,,,
99,0.825,,,,,,,,,,,,,,,,,,
100,0.833,,,,,,,,,,,,,,,,,,
101,0.842,,,,,,,,,,,,,,,,,,
102,0.85,,,,,,,,,,,,,,,,,,
103,0.858,,,,,,,,,,,,,,,,,,
104,0.867,,,,,,,,,,,,,,,,,,
105,0.875,,,,,,,,,,,,,,,,,,
106,0.883,,,,,,,,,,,,,,,,,,
107,0.892,,,,,,,,,,,,,,,,,,
108,0.9,,,,,,,,,,,,,,,,,,
109,0.908,,,,,,,,,,,,,,,,,,
110,0.917,,,,,,,,,,,,,,,,,,
111,0.925,,,,,,,,,,,,,,,,,,
112,0.933,,,,,,,,,,,,,,,,,,
113,0.942,,,,,,,,,,,,,,,,,,
114,0.95,,,,,,,,,,,,,,,,,,
115,0.958,,,,,,,,,,,,,,,,,,
116,0.967,,,,,,,,,,,,,,,,,,
117,0.975,,,,,,,,,,,,,,,,,,
118,0.983,,,,,,,,,,,,,,,,,,
119,0.992,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,
121,1.008,,,,,,,,,,,,,,,,,,
122,1.017,,,,,,,,,,,,,,,,,,
123,1.025,,,,,,,,,,,,,,,,,,
124,1.033,,,,,,,,,,,,,,,,,,
125,1.042,,,,,,,,,,,,,,,,,,
126,1.05,,,,,,,,,,,,,,,,,,
127,1.058,,,,,,,,,,,,,,,,,,
128,1.067,,,,,,,,,,,,,,,,,,
129,1.075,,,,,,,,,,,,,,,,,,
130,1.083,,,,,,,,,,,,,,,,,,
131,1.092,,,,,,,,,,,,,,,,,,
132,1.1,,,,,,,,,,,,,,,,,,
133,1.108,,,,,,,,,,,,,,,,,,
134,1.117,,,,,,,,,,,,,,,,,,
135,1.125,,,,,,,,,,,,,,,,,,
136,1.133,,,,,,,,,,,,,,,,,,
137,1.142,,,,,,,,,,,,,,,,,,
138,1.15,,,,,,,,,,,,,,,,,,
139,1.158,,,,,,,,,,,,,,,,,,
140,1.167,,,,,,,,,,,,,,,,,,
141,1.175,,,,,,,,,,,,,,,,,,
142,1.183,,,,,,,,,,,,,,,,,,
143,1.192,,,,,,,,,,,,,,,,,,
144,1.2,,,,,,,,,,,,,,,,,,
145,1.208,,,,,,,,,,,,,,,,,,
146,1.217,,,,,,,,,,,,,,,,,,
147,1.225,,,,,,,,,,,,,,,,,,
148,1.233,,,,,,,,,,,,,,,,,,
149,1.242,,,,,,,,,,,,,,,,,,
150,1.25,,,,,,,,,,,,,,,,,,
151,1.258,,,,,,,,,,,,,,,,,,
152,1.267,,,,,,,,,,,,,,,,,,
153,1.275,,,,,,,,,,,,,,,,,,
154,1.283,,,,,,,,,,,,,,,,,,
155,1.292,,,,,,,,,,,,,,,,,,
156,1.3,,,,,,,,,,,,,,,,,,
157,1.308,,,,,,,,,,,,,,,,,,
158,1.317,,,,,,,,,,,,,,,,,,
159,1.325,,,,,,,,,,,,,,,,,,
160,1.333,,,,,,,,,,,,,,,,,,
161,1.342,,,,,,,,,,,,,,,,,,
162,1.35,,,,,,,,,,,,,,,,,,
163,1.358,,,,,,,,,,,,,,,,,,
164,1.367,,,,,,,,,,,,,,,,,,
165,1.375,,,,,,,,,,,,,,,,,,
166,1.383,,,,,,,,,,,,,,,,,,
167,1.392,,,,,,,,,,,,,,,,,,
168,1.4,,,,,,,,,,,,,,,,,,
169,1.408,,,,,,,,,,,,,,,,,,
170,1.417,,,,,,,,,,,,,,,,,,
171,1.425,,,,,,,,,,,,,,,,,,
172,1.433,,,,,,,,,,,,,,,,,,
173,1.442,,,,,,,,,,,,,,,,,,
174,1.45,,,,,,,,,,,,,,,,,,
175,1.458,,,,,,,,,,,,,,,,,,
176,1.467,,,,,,,,,,,,,,,,,,
177,1.475,,,,,,,,,,,,,,,,,,
178,1.483,,,,,,,,,,,,,,,,,,
179,1.492,,,,,,,,,,,,,,,,,,
180,1.5,,,,,,,,,,,,,,,,,,
181,1.508,,,,,,,,,,,,,,,,,,
182,1.517,,,,,,,,,,,,,,,,,,
183,1.525,,,,,,,,,,,,,,,,,,
184,1.533,,,,,,,,,,,,,,,,,,
185,1.542,,,,,,,,,,,,,,,,,,
186,1.55,,,,,,,,,,,,,,,,,,
187,1.558,,,,,,,,,,,,,,,,,,
188,1.567,,,,,,,,,,,,,,,,,,
189,1.575,,,,,,,,,,,,,,,,,,
190,1.583,,,,,,,,,,,,,,,,,,
191,1.592,,,,,,,,,,,,,,,,,,
192,1.6,,,,,,,,,,,,,,,,,,
193,1.608,,,,,,,,,,,,,,,,,,
194,1.617,,,,,,,,,,,,,,,,,,
195,1.625,,,,,,,,,,,,,,,,,,
196,1.633,,,,,,,,,,,,,,,,,,
197,1.642,,,,,,,,,,,,,,,,,,
198,1.65,,,,,,,,,,,,,,,,,,
199,1.658,,,,,,,,,,,,,,,,,,
200,1.667,,,,,,,,,,,,,,,,,,
201,1.675,,,,,,,,,,,,,,,,,,
202,1.683,,,,,,,,,,,,,,,,,,
203,1.692,,,,,,,,,,,,,,,,,,
204,1.7,,,,,,,,,,,,,,,,,,
205,1.708,,,,,,,,,,,,,,,,,,
206,1.717,,,,,,,,,,,,,,,,,,
207,1.725,,,,,,,,,,,,,,,,,,
208,1.733,,,,,,,,,,,,,,,,,,
209,1.742,,,,,,,,,,,,,,,,,,
210,1.75,,,,,,,,,,,,,,,,,,
211,1.758,,,,,,,,,,,,,,,,,,
212,1.767,,,,,,,,,,,,,,,,,,
213,1.775,,,,,,,,,,,,,,,,,,
214,1.783,,,,,,,,,,,,,,,,,,
215,1.792,,,,,,,,,,,,,,,,,,
216,1.8,,,,,,,,,,,,,,,,,,
217,1.808,,,,,,,,,,,,,,,,,,
218,1.817,,,,,,,,,,,,,,,,,,
219,1.825,,,,,,,,,,,,,,,,,,
220,1.833,,,,,,,,,,,,,,,,,,
221,1.842,,,,,,,,,,,,,,,,,,
222,1.85,,,,,,,,,,,,,,,,,,
223,1.858,,,,,,,,,,,,,,,,,,
224,1.867,,,,,,,,,,,,,,,,,,
225,1.875,,,,,,,,,,,,,,,,,,
226,1.883,,,,,,,,,,,,,,,,,,
227,1.892,,,,,,,,,,,,,,,,,,
228,1.9,,,,,,,,,,,,,,,,,,
229,1.908,,,,,,,,,,,,,,,,,,
230,1.917,,,,,,,,,,,,,,,,,,
231,1.925,,,,,,,,,,,,,,,,,,
232,1.933,,,,,,,,,,,,,,,,,,
233,1.942,,,,,,,,,,,,,,,,,,
234,1.95,,,,,,,,,,,,,,,,,,
235,1.958,,,,,,,,,,,,,,,,,,
236,1.967,,,,,,,,,,,,,,,,,,
237,1.975,,,,,,,,,,,,,,,,,,
238,1.983,,,,,,,,,,,,,,,,,,
239,1.992,,,,,,,,,,,,,,,,,,
240,2,,,,,,,,,,,,,,,,,,
241,2.008,,,,,,,,,,,,,,,,,,
242,2.017,,,,,,,,,,,,,,,,,,
243,2.025,,,,,,,,,,,,,,,,,,
244,2.033,,,,,,,,,,,,,,,,,,
245,2.042,,,,,,,,,,,,,,,,,,
246,2.05,,,,,,,,,,,,,,,,,,
247,2.058,,,,,,,,,,,,,,,,,,
248,2.067,,,,,,,,,,,,,,,,,,
249,2.075,,,,,,,,,,,,,,,,,,
250,2.083,,,,,,,,,,,,,,,,,,
251,2.092,,,,,,,,,,,,,,,,,,
252,2.1,,,,,,,,,,,,,,,,,,
253,2.108,,,,,,,,,,,,,,,,,,
254,2.117,,,,,,,,,,,,,,,,,,
255,2.125,,,,,,,,,,,,,,,,,,
256,2.133,,,,,,,,,,,,,,,,,,
257,2.142,,,,,,,,,,,,,,,,,,
258,2.15,,,,,,,,,,,,,,,,,,
259,2.158,,,,,,,,,,,,,,,,,,
260,2.167,,,,,,,,,,,,,,,,,,
261,2.175,,,,,,,,,,,,,,,,,,
262,2.183,,,,,,,,,,,,,,,,,,
263,2.192,,,,,,,,,,,,,,,,,,
264,2.2,,,,,,,,,,,,,,,,,,
265,2.208,,,,,,,,,,,,,,,,,,
266,2.217,,,,,,,,,,,,,,,,,,
267,2.225,,,,,,,,,,,,,,,,,,
268,2.233,,,,,,,,,,,,,,,,,,
269,2.242,,,,,,,,,,,,,,,,,,
270,2.25,,,,,,,,,,,,,,,,,,
271,2.258,,,,,,,,,,,,,,,,,,
272,2.267,,,,,,,,,,,,,,,,,,
273,2.275,,,,,,,,,,,,,,,,,,
274,2.283,,,,,,,,,,,,,,,,,,
275,2.292,,,,,,,,,,,,,,,,,,
276,2.3,,,,,,,,,,,,,,,,,,
277,2.308,,,,,,,,,,,,,,,,,,
278,2.317,,,,,,,,,,,,,,,,,,
279,2.325,,,,,,,,,,,,,,,,,,
280,2.333,,,,,,,,,,,,,,,,,,
281,2.342,,,,,,,,,,,,,,,,,,
282,2.35,,,,,,,,,,,,,,,,,,
283,2.358,,,,,,,,,,,,,,,,,,
284,2.367,,,,,,,,,,,,,,,,,,
285,2.375,,,,,,,,,,,,,,,,,,
286,2.383,,,,,,,,,,,,,,,,,,
287,2.392,,,,,,,,,,,,,,,,,,
288,2.4,,,,,,,,,,,,,,,,,,
289,2.408,,,,,,,,,,,,,,,,,,
290,2.417,,,,,,,,,,,,,,,,,,
291,2.425,,,,,,,,,,,,,,,,,,
292,2.433,,,,,,,,,,,,,,,,,,
293,2.442,,,,,,,,,,,,,,,,,,
294,2.45,,,,,,,,,,,,,,,,,,
295,2.458,,,,,,,,,,,,,,,,,,
296,2.467,,,,,,,,,,,,,,,,,,
297,2.475,,,,,,,,,,,,,,,,,,
298,2.483,,,,,,,,,,,,,,,,,,
299,2.492,,,,,,,,,,,,,,,,,,
300,2.5,,,,,,,,,,,,,,,,,,
301,2.508,,,,,,,,,,,,,,,,,,
302,2.517,,,,,,,,,,,,,,,,,,
303,2.525,,,,,,,,,,,,,,,,,,
304,2.533,,,,,,,,,,,,,,,,,,
305,2.542,,,,,,,,,,,,,,,,,,
306,2.55,,,,,,,,,,,,,,,,,,
307,2.558,,,,,,,,,,,,,,,,,,
308,2.567,,,,,,,,,,,,,,,,,,
309,2.575,,,,,,,,,,,,,,,,,,
310,2.583,,,,,,,,,,,,,,,,,,
311,2.592,,,,,,,,,,,,,,,,,,
312,2.6,,,,,,,,,,,,,,,,,,
313,2.608,,,,,,,,,,,,,,,,,,
314,2.617,,,,,,,,,,,,,,,,,,
315,2.625,,,,115.633583,1425.709839,1876.894653,-142.333939,1298.276245,1816.464355,-361.502441,1323.307983,1822.603516,470.554718,1007.61554,1805.780029,,,
316,2.633,,,,,,,-159.547012,1303.290283,1701.467163,,,,,,,,,
317,2.642,450.061981,1361.96167,1902.154541,111.162621,1424.815796,1865.364868,-152.561325,1307.202759,1695.041504,,,,,,,,,
318,2.65,448.624603,1362.172119,1898.231445,107.040436,1423.294922,1856.352905,,,,,,,,,,,,
319,2.658,447.374786,1362.015747,1896.043945,105.771431,1423.72998,1851.109497,,,,,,,,,,,,
320,2.667,446.747528,1361.043945,1898.292725,106.250465,1425.27002,1850.504761,,,,,,,,,,,,
321,2.675,446.124542,1360.341431,1900.067017,104.381554,1425.40332,1844.668945,,,,,,,,,,,,
322,2.683,445.592743,1360.178101,1899.770752,102.59996,1425.684814,1838.901489,,,,,,,,,,,,
323,2.692,444.957031,1360.263794,1898.719727,98.599556,1424.428223,1828.323975,,,,,,,,,,,,
324,2.7,444.285675,1360.503662,1897.022583,96.804985,1424.935547,1822.588745,,,,,,,,,,,,
325,2.708,443.368317,1360.981445,1893.786499,95.392548,1425.643433,1817.269043,,,,,,,,,,,,
326,2.717,442.440033,1361.365479,1891.281494,93.886215,1426.420776,1811.525391,-158.914276,1294.44165,1748.215454,-378.592865,1314.437012,1750.523315,195.764038,884.328918,1571.348755,,,
327,2.725,441.534821,1361.920654,1888.910889,94.278717,1428.714966,1809.964355,-160.554016,1292.906006,1746.067017,-379.907837,1314.190674,1743.703125,192.998947,883.433289,1565.642578,138.456879,1043.624878,1673.494873
328,2.733,440.515076,1362.711792,1885.677368,92.894081,1429.657837,1804.553345,-161.707413,1292.938843,1740.310425,-381.020264,1313.895996,1736.898438,191.026199,884.06543,1561.373901,136.202286,1044.353516,1668.000366
329,2.742,439.505798,1363.522217,1882.131836,91.463028,1430.71167,1799.03064,-162.894226,1292.944092,1734.582642,-382.079437,1313.809326,1730.54248,188.928146,885.073364,1555.352051,135.145462,1045.552124,1661.510254
330,2.75,438.384918,1364.452637,1878.382446,90.050819,1431.762573,1793.342407,-163.862442,1293.269897,1728.890869,-383.131042,1313.963501,1724.499512,187.298615,885.895264,1550.813965,132.84375,1046.103027,1657.55249
331,2.758,437.459137,1365.388428,1874.81665,89.01371,1432.879639,1788.180176,-164.848145,1293.965942,1723.304199,-384.206635,1314.110474,1717.78186,185.547882,886.61499,1546.069702,131.388519,1046.989502,1652.489746
332,2.767,436.445679,1366.429321,1870.165771,87.849228,1434.070435,1782.993408,-165.959244,1294.761719,1717.822998,-385.098694,1314.321899,1711.679199,183.89183,887.421082,1540.532959,129.877792,1047.888062,1647.550171
333,2.775,435.562927,1367.378784,1866.077393,86.758194,1435.278809,1777.612915,-166.864731,1295.73938,1712.398804,-386.072601,1315.074463,1705.978149,182.717682,888.518433,1534.471313,128.537888,1048.83252,1642.621338
334,2.783,434.554199,1368.384277,1861.16626,85.429749,1436.288086,1772.001709,-167.462921,1296.58374,1707.009399,-387.012146,1316.036499,1700.418701,181.676788,889.518066,1529.236084,127.33197,1049.735352,1637.750244
335,2.792,433.532104,1369.360474,1855.916992,84.397324,1437.401978,1766.633667,-168.335281,1297.645874,1701.707886,-387.943329,1317.125977,1695.040894,181.008316,890.147766,1526.14856,126.338181,1050.67627,1632.947144
336,2.8,432.506317,1370.315063,1850.730469,83.344299,1438.478516,1761.320068,-169.198059,1298.787598,1696.475708,-388.948425,1318.28833,1689.64917,180.215027,890.780762,1521.986084,125.334023,1051.55957,1628.078857
337,2.808,431.585327,1371.219116,1845.536255,82.355232,1439.504028,1755.952271,-170.238647,1299.915771,1691.249756,-389.930634,1319.58728,1684.366211,179.124512,892.215271,1514.547607,124.371346,1052.352905,1623.30896
338,2.817,430.693756,1372.003906,1840.30957,81.448586,1440.516724,1750.670776,-171.113419,1301.134766,1686.16626,-390.857117,1320.982544,1679.176147,178.578568,892.890076,1510.401611,123.64534,1053.154419,1618.319458
339,2.825,429.79599,1372.80896,1835.065308,80.608231,1441.455933,1745.431152,-172.133301,1302.354736,1681.067871,-391.913788,1322.495239,1674.166138,178.120178,893.643005,1505.173462,122.971718,1053.889526,1613.112671
340,2.833,429.007416,1373.474243,1829.799316,79.849197,1442.326416,1740.191162,-173.117432,1303.533325,1676.029785,-392.790283,1324.15918,1669.656494,177.794312,894.07428,1501.391113,121.903687,1054.261841,1609.351562
341,2.842,428.070007,1374.178101,1823.787842,79.291695,1443.023071,1735.076904,-174.143463,1304.804199,1670.99231,-393.695129,1325.834595,1664.908447,177.236954,894.613892,1496.035278,121.536781,1054.874756,1603.269653
342,2.85,427.37384,1374.682983,1818.680298,78.613579,1443.740723,1729.818237,-174.917526,1305.958252,1665.94751,-394.545685,1327.489624,1660.17395,177.005234,894.74823,1492.696289,120.606033,1055.221069,1599.94104
343,2.858,426.739746,1375.005737,1813.52832,78.016167,1444.393311,1724.684937,-175.72171,1307.04248,1661.034058,-395.428864,1329.061035,1655.675049,176.82515,894.786255,1489.807129,120.494926,1055.083862,1594.382202
344,2.867,426.091278,1375.416626,1808.397705,77.617706,1445.106445,1719.565063,-176.626633,1308.130249,1656.102051,-396.068848,1330.806641,1651.365967,177.872101,896.43158,1489.485596,119.637794,1055.336304,1590.861938
345,2.875,425.722382,1375.759766,1803.258911,77.155266,1445.639404,1714.575195,-177.192825,1309.265869,1651.237671,-396.868805,1332.526855,1647.095093,176.141037,894.959412,1481.700439,119.251801,1055.519165,1586.295044
346,2.883,425.314911,1376.273315,1797.755981,76.800697,1446.118042,1709.531128,-178.040466,1310.43396,1646.432373,-397.542236,1334.160889,1642.79895,178.346191,898.53241,1476.941284,118.650497,1055.761841,1581.712036
347,2.892,425.064209,1376.664062,1792.804565,76.50515,1446.655151,1704.629395,-178.89064,1311.459229,1641.669067,-398.933197,1335.850464,1638.281372,175.719055,894.806091,1473.696533,118.131157,1055.707764,1577.452637
348,2.9,424.690887,1377.181274,1787.135498,76.208557,1447.094238,1699.807129,-179.684036,1312.537354,1637.007324,-399.799255,1337.077026,1633.89624,175.392181,894.989929,1469.671021,117.801613,1055.980835,1573.649414
349,2.908,424.477844,1377.384766,1782.298706,75.970154,1447.580078,1695.026489,-180.176361,1313.513306,1632.336182,-400.309631,1338.516113,1629.655151,175.152481,894.853394,1465.593384,117.402641,1056.181396,1569.390015
350,2.917,424.231842,1377.593262,1777.490967,75.908386,1447.962769,1690.174316,-180.805496,1314.471802,1627.699951,-400.735626,1339.849365,1625.456909,175.14801,894.821045,1461.725952,116.766861,1056.611694,1566.348389
351,2.925,423.923065,1377.691406,1772.239624,75.90168,1448.418579,1685.445557,-181.126038,1315.380859,1623.161621,-401.095581,1340.949341,1621.177368,175.090073,894.942261,1457.833862,116.825302,1056.565308,1561.977905
352,2.933,423.744171,1377.919678,1767.079712,75.942863,1448.728027,1680.770508,-181.530029,1316.145996,1618.6604,-401.404755,1342.003906,1616.93689,175.117401,895.103455,1453.855225,116.983444,1056.687012,1557.576538
353,2.942,423.832581,1378.161255,1761.987915,75.899132,1449.04834,1676.087891,-181.933212,1316.92334,1614.276123,-401.585327,1342.920532,1612.65686,175.314651,895.005493,1449.87146,116.636238,1056.463623,1553.665771
354,2.95,423.985168,1378.505249,1756.995605,75.899826,1449.399292,1671.449463,-182.157669,1317.601074,1609.932373,-401.769684,1343.729614,1608.460327,175.001938,895.118896,1445.057617,116.800011,1056.620117,1549.709961
355,2.958,424.04538,1378.693481,1752.098633,76.033997,1449.643311,1666.92749,-182.214554,1318.140991,1605.544678,-401.815186,1344.559692,1604.019409,175.233734,894.883606,1442.646118,116.980949,1056.714966,1545.369873
356,2.967,424.022736,1378.776001,1747.272339,76.186974,1449.890259,1662.369873,-182.280228,1318.635376,1601.235352,-401.644012,1345.19873,1599.452026,175.130295,895.010986,1438.361206,117.145721,1056.57666,1542.023926
357,2.975,423.956177,1378.792358,1741.864624,76.423248,1450.157104,1657.845703,-182.101303,1319.068237,1596.941284,-401.569794,1345.587646,1595.453247,175.394653,894.604675,1435.931152,117.146034,1056.708496,1537.661987
358,2.983,424.6138,1378.825195,1737.202637,76.678024,1450.436768,1653.264771,-181.837234,1319.377686,1592.631104,-401.357086,1346.102539,1591.044556,175.839569,894.362732,1432.295776,117.249611,1056.730835,1534.219482
359,2.992,424.95047,1379.037598,1732.635742,76.884193,1450.696289,1648.754761,-181.487228,1319.565308,1588.256348,-401.140106,1346.401733,1586.460449,176.479813,894.557312,1430.000244,117.45768,1056.711304,1530.312256
360,3,425.221252,1379.177246,1728.080322,77.212418,1450.930786,1644.302124,-180.847122,1320.344238,1581.977661,-400.833557,1346.534302,1582.175903,176.496384,894.510925,1424.845581,117.802177,1056.742065,1526.192017
361,3.008,425.549194,1379.335327,1723.562012,77.574669,1451.198975,1639.842529,-180.73143,1320.074829,1579.775879,-400.404297,1346.77002,1577.865112,176.673187,894.075378,1422.140015,117.891205,1056.666626,1523.064209
362,3.017,426.546722,1379.099487,1718.851685,78.116272,1451.30188,1635.40625,-180.233536,1320.218628,1575.477051,-399.337524,1346.779419,1573.885254,176.865143,893.643005,1419.196289,118.178055,1056.69812,1518.724487
363,3.025,426.808563,1379.08606,1714.435791,78.585838,1451.531494,1631.047729,-179.421707,1320.57019,1570.048706,-398.082367,1346.834229,1569.763184,177.040115,893.408142,1415.545654,118.350769,1056.488281,1515.460693
364,3.033,427.240631,1379.122681,1709.456177,79.260162,1451.678589,1626.678223,-178.446579,1320.829712,1564.692749,-397.138977,1346.743164,1565.357422,177.121735,893.255432,1411.435181,118.661766,1056.474731,1511.270508
365,3.042,428.123535,1379.130981,1705.187866,79.832443,1451.787354,1622.236084,-178.129715,1320.213623,1562.69751,-396.38092,1346.572388,1561.310669,177.4245,892.854187,1407.942139,118.937973,1056.237671,1508.067383
366,3.05,428.789734,1378.913086,1700.876343,80.461449,1451.805176,1617.869385,-177.339447,1320.209106,1558.450073,-395.718933,1346.324829,1556.922363,177.519943,892.909302,1403.858032,119.36322,1056.181885,1504.134766
367,3.058,429.362732,1378.508545,1696.586426,81.066292,1451.930786,1613.446045,-176.7061,1320.093506,1554.170776,-394.942688,1346.098755,1552.394531,177.915344,892.329285,1402.114258,119.502838,1055.853027,1500.585327
368,3.067,430.55484,1378.355347,1692.203857,81.820473,1451.874878,1609.001831,-175.906555,1319.911133,1549.895508,-394.14035,1345.864136,1548.346069,177.763397,892.171082,1397.471313,119.969055,1055.896484,1497.035156
369,3.075,430.942474,1386.596436,1689.416626,82.581451,1451.879761,1604.620361,-174.990448,1319.834106,1545.671143,-393.327972,1345.536377,1543.990112,178.067749,891.663879,1396.19873,120.310974,1055.549194,1493.86145
370,3.083,431.049408,1393.52124,1686.56543,83.409149,1451.713623,1600.148193,-173.896606,1319.700439,1541.374023,-392.5242,1345.240356,1539.502319,178.192596,891.603699,1392.469971,120.867645,1055.470703,1489.803955
371,3.092,,,,84.275124,1451.633301,1595.639038,-173.145813,1319.331177,1536.977539,-391.657867,1344.974609,1535.457642,178.206161,891.499939,1389.140259,121.181992,1055.183228,1486.823853
